"","Species","LOCAL_BOTH","d.LOCAL_BOTH","LOCAL_PERMANENT","d.LOCAL_PERMANENT","LOCAL_TRANSITIONAL","d.LOCAL_TRANSITIONAL","LOCAL_UNDISTURBED_BOTH","d.LOCAL_UNDISTURBED_BOTH","LOCAL_UNDISTURBED_PERMANENT","d.LOCAL_UNDISTURBED_PERMANENT","LOCAL_UNDISTURBED_TRANSITIONAL","d.LOCAL_UNDISTURBED_TRANSITIONAL","NEIGHBORHOOD_BOTH","d.NEIGHBORHOOD_BOTH","NEIGHBORHOOD_PERMANENT","d.NEIGHBORHOOD_PERMANENT","NEIGHBORHOOD_TRANSITIONAL","d.NEIGHBORHOOD_TRANSITIONAL"
"1","BBWA",13196.0353940326,8346.45995020119,11058.0652641687,6208.48982033731,10640.2612247387,5790.68578090727,8494.4589391194,3644.88349528799,7107.93713576936,2258.36169193794,4849.57544383141,0,13188.2487791212,8338.6733352898,9382.99442078917,4533.41897695775,7259.38683469677,2409.81139086535
"2","BLPW",3045.32474721261,1688.73056914796,2339.69195770711,983.097779642448,2423.87030164835,1067.2761235837,1712.16989398482,355.575715920162,1472.7232052432,116.129027178539,1356.59417806466,0,3043.96585185651,1687.37167379185,2026.61923193682,670.025053872158,2115.87810549823,759.283927433575
"3","BOCH",8377.49332498348,5221.63235214671,6909.4720315817,3753.61105874493,6582.32994118451,3426.46896834774,5108.13410007708,1952.27312724031,4275.13405042317,1119.2730775864,3155.86097283677,0,8394.93462332483,5239.07365048806,6084.69200016793,2928.83102733116,4670.13787552334,1514.27690268657
"4","BRCR",8583.9434314999,5326.2059613607,6572.55920954477,3314.82173940556,7287.23554996625,4029.49807982704,5281.15735181462,2023.41988167541,4215.87829976641,958.140829627211,3257.7374701392,0,8585.16958110673,5327.43211096753,5552.44739741853,2294.70992727933,5234.24740940148,1976.50993926228
"5","BTNW",12374.5839899595,8928.63915865995,9620.01361174738,6174.06878044788,9722.79257202134,6276.84774072184,6982.5336255651,3536.5887942656,5415.5416508469,1969.5968195474,3445.9448312995,0,12382.2113475928,8936.26651629331,8294.99716509275,4849.05233379325,5986.39859897863,2540.45376767913
"6","CAWA",7142.9170746908,4368.04750351817,6001.96073922495,3227.09116805231,5907.37709472798,3132.50752355535,4669.53591667779,1894.66634550516,3794.85121134216,1019.98164016953,2774.86957117263,0,7154.4074564796,4379.53788530697,5065.38707828459,2290.51750711196,4007.11020402302,1232.24063285039
"7","CMWA",5997.23510582369,3671.59107102417,5128.48186166709,2802.83782686757,4765.85106443039,2440.20702963087,3950.9649276644,1625.32089286488,3360.83121263175,1035.18717783223,2325.64403479952,0,5935.42891134742,3609.7848765479,4561.45395485879,2235.80992005927,3119.01745070557,793.373415906045
"8","CONW",6806.61522885672,4698.07744244904,5186.67709859093,3078.13931218325,5465.4704850705,3356.93269866283,3870.09443888706,1761.55665247939,3006.25787602026,897.720089612586,2108.53778640768,0,6814.28502241339,4705.74723600571,4762.70284753653,2654.16506112885,3246.54151245173,1138.00372604406
"9","OVEN",41345.912769831,28918.696894176,33579.1427633731,21151.9268877181,31318.787552249,18891.5716765939,23511.4415447561,11084.225669101,19343.2814953413,6916.0656196862,12427.2158756551,0,41415.8647587228,28988.6488830677,29539.9945989001,17112.778723245,20118.2038522538,7690.98797659873
"10","PISI",16308.7302588007,10979.439632361,12789.1399130342,7459.84928659443,12632.9868392141,7303.69621277435,9085.54495198629,3756.25432554654,7882.70488644698,2553.41426000723,5329.29062643975,0,16307.3670987702,10978.0764723305,12145.2119636387,6815.92133719892,8111.75410735327,2782.46348091352
"11","RBNU",20167.2433241624,13667.5838695712,15691.9380109286,9192.2785563374,15760.960541002,9261.30108641076,11257.5445777263,4757.88512313511,9121.52153537966,2621.86208078843,6499.65945459123,0,20175.1815238594,13675.5220692681,13735.6488139067,7235.98935931548,10765.5171212585,4265.85766666729
"12","SWTH",45262.4968355643,30510.4175679195,36001.3777968624,21249.2985292176,34721.3017936201,19969.2225259753,25426.2883777489,10674.2091101041,21422.9472768583,6670.86800921353,14752.0792676448,0,45262.0120169514,30509.9327493066,32110.6098858389,17358.5306181942,23946.573734925,9194.49446728022
"13","TEWA",34290.0146267743,23934.6602621823,27879.3040031347,17523.9496385427,25823.5592493777,15468.2048847857,19361.8850145918,9006.53064999986,16890.3177499532,6534.96338536124,10355.354364592,0,34284.2206281758,23928.8662635839,26550.1920503556,16194.8376857637,15632.7594726549,5277.40510806293
"14","WETA",7820.62353066067,5698.87262102965,6552.04167504521,4430.29076541419,6128.22585154981,4006.47494191878,4852.84201482234,2731.09110519132,4214.55868774305,2092.80777811203,2121.75090963102,0,7820.79646151211,5699.04555188109,6477.18585496847,4355.43494533744,2838.55966183668,716.808752205657
"15","YRWA",45472.3279063318,30402.2240885621,35980.6778173613,20910.5739995915,35202.6837280324,20132.5799102626,25664.2089244108,10594.105106641,21308.4768633744,6238.3730456046,15070.1038177698,0,45509.3572921237,30439.2534743539,32204.957872412,17134.8540546423,24103.8062700105,9033.70245224074
